"","Focal","Other","Class","dist.cm","NN","QGr","vQGr","Rr","vRr","LRr","vLRr","Wr","vWr","D2","vD2"
"1","1","2","OU",42,"1",0.323,0.086,0.242,0.051,0.248,0.05,0.192,0.033,0.641,0.329
"2","3","45","FNR",47,"1",-0.008,-0.041,0.165,0.005,0.14,-0.025,0.05,-0.024,0.12,-0.106
"3","4","46","ONN",34,"1",-0.168,0.025,-0.003,0,-0.04,0.002,-0.166,0.028,-0.022,-0.083
"4","5","48","FNN",47,"1",-0.012,-0.015,0.079,0.004,0.019,-0.002,0.005,-0.011,-0.104,-0.341
"5","6","73","FNN",12,"1",-0.116,-0.004,0.021,0,-0.131,0.015,-0.104,0.002,0.066,-0.162
"6","7","50","OU",17,"1",-0.054,-0.005,0.023,0,-0.014,0,-0.101,0.004,-1.833,-0.29
"7","8","7","FNR",68,"1",0.052,0,0.032,0.001,-0.011,0,-0.029,-0.004,0.015,-0.139
"8","9","51","OU",30,"1",-0.017,-0.004,0.007,0,-0.02,0,-0.138,0.015,-3.647,7.963
"9","12","N8","OU",160,"1",0.091,-0.006,0.046,0.001,-0.022,-0.002,0.016,-0.024,0.56,0.239
"10","13","52","OU",32,"1",-0.029,-0.01,0.02,0,-0.02,0,-0.139,0.009,-0.685,-0.142
"11","14","N1","OU",145,"1",-0.04,-0.01,0.03,0,-0.022,0,-0.112,0.008,0.69,0.452
"12","15","49","OU",38,"1",0.27,0.064,0.111,0.012,0.062,0.004,0.19,0.032,0.555,0.29
"13","16","N2","OU",51,"1",0.052,-0.001,0.038,0.001,-0.015,0,0.035,-0.003,0.352,0.095
"14","17","N3","OU",12,"1",0.108,-0.007,0.043,0.001,-0.019,-0.001,0.015,-0.006,-0.452,-0.296
"15","20","53","OU",14,"1",0.209,0.037,0.195,0.029,0.201,0.022,0.223,0.038,0.803,0.635
"16","21","22","FNR",72,"1",0.097,-0.022,0.084,0.006,0.013,0,0.102,0,0.333,0.097
"17","22","54","OU",25,"1",0.145,0.007,0.061,0.003,0.009,-0.003,0.04,-0.005,0.713,0.496
"18","23","55","OU",48,"1",0.002,-0.01,0.029,0,-0.015,0,-0.091,0.001,0.314,-0.096
"19","24","56","OU",37,"1",0.25,0.062,0.142,0.02,0.074,0.008,0.29,0.082,0.707,0.483
"20","26","N6","ONR",90,"1",0.079,-0.018,0.121,0.012,0.091,0.002,0.076,-0.019,0.079,-0.354
"21","27","58","OU",50,"1",-0.052,-0.009,0.011,0,-0.075,0.005,-0.113,0.009,0.283,0.042
"22","28","N5","OU",71,"1",-0.068,-0.006,0.102,0.006,0.073,-0.008,-0.025,-0.009,0.522,0.205
"23","29","59","OU",9,"1",0.168,0.003,0.242,0.015,0.099,-0.003,0.201,0.011,0.786,0.597
"24","30","37","OU",6,"1",-0.073,-0.036,0.05,0.001,-0.013,-0.008,0.04,-0.021,0.498,0.212
"25","32","60","FNN",73,"1",0.018,-0.008,0.045,0.001,-0.007,-0.001,-0.006,-0.008,-0.123,-0.147
"26","39","40","OU",120,"1",-0.022,-0.019,0.018,-0.001,-0.031,0,-0.088,0.001,-0.636,-0.435
"27","43","47","OU",8,"1",-0.08,0.003,0.033,0,-0.011,0,-0.126,0.004,-0.307,-0.157
"28","45","71","ONR",34,"1",0.036,-0.008,0.197,0.019,0.078,0,-0.028,-0.007,-0.656,-1.082
"29","48","73","FNR",19,"1",0.12,-0.015,0.033,0.001,-0.022,0,-0.049,-0.003,0.104,-0.076
"30","60","82","ONR",113,"1",-0.114,0.011,-0.008,0,-0.036,0.001,-0.214,0.045,0.1,-0.058
"31","66","67","FNN",25,"1",0.143,-0.016,0.189,0.031,0.204,0.035,0.19,0.017,0.571,0.273
"32","67","68","FNR",110,"1",0.039,-0.006,0.045,0.001,-0.01,-0.001,-0.028,-0.006,0.669,0.416
"33","68","69","ONR",620,"1",0.042,-0.016,0.062,0.003,0.006,-0.001,0.025,-0.009,0.463,0.175
"34","70","1","FNR",120,"1",0.168,0.024,0.135,0.016,0.104,0.007,0.186,0.025,0.104,-0.151
"35","72","46","ONN",245,"1",0.042,-0.008,0.023,0,-0.023,0,-0.047,-0.006,0.701,0.471
"36","73","74","ONR",12,"1",0.399,0.155,0.382,0.133,0.349,0.111,0.385,0.139,0.72,0.486
"37","75","76","FNR",252,"1",0.235,0.048,0.192,0.024,0.18,0.018,0.249,0.063,0.612,0.351
"38","76","77","FNR",90,"1",0.3,0.077,0.122,0.015,0.17,0.031,0.255,0.068,0.687,0.453
"39","77","78","FNR",27,"1",-0.285,0.067,0.018,-0.001,-0.105,0.004,-0.164,0.021,-1.356,0.295
"40","78","79","OU",9,"1",0.44,0.183,0.571,0.316,0.42,0.169,0.425,0.163,-1.155,0.216
"41","80","81","OU",19,"1",-0.019,-0.003,0.029,0,-0.021,0,-0.06,-0.002,-0.003,-0.079
"42","83","60","FNR",170,"1",0.073,-0.003,0.033,0.001,-0.012,0,-0.1,0.006,-0.681,0.172
"43","84","32","FNR",170,"1",-0.147,0.02,-0.011,0,-0.08,0.007,-0.207,0.044,-0.438,-0.152
"44","85","86","OU",410,"1",-0.324,0.098,-0.017,0,-0.039,0.002,-0.25,0.067,0.272,-0.032
"45","2D","N6","ONN",75,"1",-0.054,-0.02,0.027,0,-0.014,0,-0.055,-0.004,-0.177,-0.232
