"","V1","V2"
"Ambrosia artemisiifolia: Mcgoey and Stinchcombe 2018 common garden","Mcgoey_and_Stinchcombe_2018_Ambrosia_artemisiifolia_common_garden","540"
"Aquilegia canadensis: Bartkowska et al. 2018 field","Bartkowska_et_al._2018_Aquilegia_canadensis_field","3.802"
"Aquilegia canadensis: Herlihy and Eckert 2007 field","Herlihy_and_Eckert_2007_Aquilegia_canadensis_field","15.562"
"Arabidopsis lyrata: Puentes et al. 2016 common garden","Puentes_et_al._2016_Arabidopsis_lyrata_common_garden","570.992"
"Brassica cretica: Widen et al 2002 greenhouse","Widen_et_al_2002_Brassica_cretica_greenhouse","222.207"
"Clarkia dudleyana: Podolsky et al. 1997 greenhouse","Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse","11.3"
"Collinsia heterophylla: Charlesworth and Mayer 1995 field","Charlesworth_and_Mayer_1995_Collinsia_heterophylla_field","112.212"
"Collinsia heterophylla: Charlesworth and Mayer 1995 greenhouse","Charlesworth_and_Mayer_1995_Collinsia_heterophylla_greenhouse","112.212"
"Collinsia heterophylla: Lankinen et al 2017 greenhouse","Lankinen_et_al_2017_Collinsia_heterophylla_greenhouse","735.682"
"Crepis tectorum: Andersson Crepis greenhouse","Andersson_Crepis_Crepis_tectorum_greenhouse","2500"
"Dalechampia scandens A: Bolstad et al. Mexico greenhouse","Bolstad_et_al._Mexico_Dalechampia_scandens_A_greenhouse","1060.818"
"Dalechampia scandens A: Hansen et al. 2003 greenhouse","Hansen_et_al._2003_Dalechampia_scandens_A_greenhouse","2682.584"
"Dalechampia scandens A: Opedal et al. Costa Rica field","Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field","159.213"
"Dalechampia scandens A: Opedal et al. Costa Rica greenhouse","Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse","89.733"
"Eichhornia paniculata: Worley and Barrett 2001 greenhouse","Worley_and_Barrett_2001_Eichhornia_paniculata_greenhouse","47.849"
"Fragaria virginiana: Ashman 2003 field","Ashman_2003_Fragaria_virginiana_field","9.843"
"Heterosperma pinnatum: Venable and Burquez 1989 greenhouse","Venable_and_Burquez_1989_Heterosperma_pinnatum_greenhouse","438.413"
"Holcus lanatus: Billington et al 1988 greenhouse","Billington_et_al_1988_Holcus_lanatus_greenhouse","0.5"
"Ipomopsis aggregata: Campbell et al 2018 field","Campbell_et_al_2018_Ipomopsis_aggregata_field","0.199"
"Ipomopsis aggregata: Campbell unpublished 2019 field","Campbell_unpublished_2019_Ipomopsis_aggregata_field","7.333"
"Ipomopsis aggregata: Caruso 2000 field","Caruso_2000_Ipomopsis_aggregata_field","3.5"
"Ipomopsis aggregata: Caruso 2001 field","Caruso_2001_Ipomopsis_aggregata_field","3"
"Ipomopsis aggregata x tenuituba: Campbell et al 2018 field","Campbell_et_al_2018_Ipomopsis_aggregata_x_tenuituba_field","0.96"
"Ipomopsis tenuituba: Campbell et al 2018 field","Campbell_et_al_2018_Ipomopsis_tenuituba_field","0.0943"
"Lobelia cardinalis: Caruso et al 2003 field","Caruso_et_al_2003_Lobelia_cardinalis_field","5.928"
"Lobelia siphilitica: Caruso 2004 greenhouse","Caruso_2004_Lobelia_siphilitica_greenhouse","7.204"
"Lobelia siphilitica: Caruso 2012 greenhouse","Caruso_2012_Lobelia_siphilitica_greenhouse","1128.808"
"Lobelia siphilitica: Caruso et al 2003 field","Caruso_et_al_2003_Lobelia_siphilitica_field","7.343"
"Lythrum salicaria: Colautti and Barrett 2011 greenhouse","Colautti_and_Barrett_2011_Lythrum_salicaria_greenhouse","1200"
"Medicago truncatula: Bonnin et al. 1997 greenhouse","Bonnin_et_al._1997_Medicago_truncatula_greenhouse","314.643"
"Mimulus guttatus: Carr and Fenster 1994 greenhouse","Carr_and_Fenster_1994_Mimulus_guttatus_greenhouse","10"
"Mimulus guttatus: Fenster and Carr 1997 greenhouse","Fenster_and_Carr_1997_Mimulus_guttatus_greenhouse","10"
"Mimulus micranthus: Carr and Fenster 1994 greenhouse","Carr_and_Fenster_1994_Mimulus_micranthus_greenhouse","68.251"
"Mimulus micranthus: Fenster and Carr 1997 greenhouse","Fenster_and_Carr_1997_Mimulus_micranthus_greenhouse","68.251"
"Nigella degenii: Andersson 1997 greenhouse","Andersson_1997_Nigella_degenii_greenhouse","37.423"
"Senecio integrifolius: Widen and Andersson 1993 common garden","Widen_and_Andersson_1993_Senecio_integrifolius_common_garden","72.867"
"Senecio pinnatifolius: Walter et al 2018 greenhouse","Walter_et_al_2018_Senecio_pinnatifolius_greenhouse","607.881"
"Solanum carolinense: Elle 1998 greenhouse","Elle_1998_Solanum_carolinense_greenhouse","36.423"
"Spergularia marina: Delesalle and Mazer 1995 greenhouse","Delesalle_and_Mazer_1995_Spergularia_marina_greenhouse","28.524"
"Talinum mengesii: Carter and Murdy 1986 greenhouse","Carter_and_Murdy_1986_Talinum_mengesii_greenhouse","214"
"Talinum teretifolium: Carter and Murdy 1986 greenhouse","Carter_and_Murdy_1986_Talinum_teretifolium_greenhouse",NA
"Turnera ulmifolia: Barrett and Shore 1987 greenhouse","Barrett_and_Shore_1987_Turnera_ulmifolia_greenhouse","188"
